team,captain
Arsenal,Martin Ødegaard
Arsenal,Pierre-Emerick Aubameyang
Arsenal,Alexandre Lacazette
Arsenal,Granit Xhaka
Arsenal,Héctor Bellerín
Arsenal,Rob Holding
Arsenal,Jorginho
Arsenal,Bukayo Saka
Arsenal,Nacho Monreal
Arsenal,Oleksandr Zinchenko
Aston Villa,John McGinn
Aston Villa,Jack Grealish
Aston Villa,Tyrone Mings
Aston Villa,Emiliano Martínez
Aston Villa,Ashley Young
Aston Villa,Douglas Luiz
Aston Villa,Ezri Konsa
Bournemouth,Neto
Bournemouth,Steve Cook
Bournemouth,Adam Smith
Bournemouth,Lloyd Kelly
Bournemouth,Simon Francis
Bournemouth,Nathan Aké
Brentford,Christian Nørgaard
Brentford,Pontus Jansson
Brentford,Ivan Toney
Brentford,David Raya
Brentford,Mathias Jensen
Brentford,Vitaly Janelt
Brighton and Hove Albion,Lewis Dunk
Brighton and Hove Albion,Adam Lallana
Brighton and Hove Albion,Pascal Groß
Brighton and Hove Albion,Adam Webster
Brighton and Hove Albion,Dale Stephens
Brighton and Hove Albion,Dan Burn
Brighton and Hove Albion,Shane Duffy
Burnley,Ben Mee
Burnley,James Tarkowski
Burnley,Josh Brownhill
Burnley,Josh Cullen
Burnley,Ashley Westwood
Burnley,Jack Cork
Chelsea,César Azpilicueta
Chelsea,Conor Gallagher
Chelsea,Jorginho
Chelsea,Thiago Silva
Chelsea,Ben Chilwell
Chelsea,Mateo Kovačić
Chelsea,Reece James
Chelsea,N'Golo Kanté
Chelsea,Kepa Arrizabalaga
Chelsea,Levi Colwill
Chelsea,Marcos Alonso
Chelsea,Willian
Crystal Palace,Luka Milivojević
Crystal Palace,Joel Ward
Crystal Palace,Marc Guéhi
Crystal Palace,James McArthur
Crystal Palace,Gary Cahill
Crystal Palace,Joachim Andersen
Crystal Palace,Wilfried Zaha
Crystal Palace,Scott Dann
Crystal Palace,James Tomkins
Everton,Séamus Coleman
Everton,James Tarkowski
Everton,Gylfi Sigurðsson
Everton,Jordan Pickford
Everton,Lucas Digne
Everton,Leighton Baines
Everton,Michael Keane
Everton,Asmir Begović
Everton,Conor Coady
Everton,Mason Holgate
Everton,Yerry Mina
Fulham,Tim Ream
Fulham,Tom Cairney
Fulham,Joachim Andersen
Fulham,Bernd Leno
Fulham,Harrison Reed
Fulham,Bobby Reid
Fulham,Aleksandar Mitrović
Leeds United,Liam Cooper
Leeds United,Luke Ayling
Leeds United,Rodrigo
Leeds United,Patrick Bamford
Leeds United,Robin Koch
Leicester City,Kasper Schmeichel
Leicester City,Youri Tielemans
Leicester City,Jonny Evans
Leicester City,James Maddison
Leicester City,Wes Morgan
Leicester City,Wilfred Ndidi
Leicester City,Marc Albrighton
Liverpool,Jordan Henderson
Liverpool,Virgil van Dijk
Liverpool,James Milner
Liverpool,Georginio Wijnaldum
Liverpool,Andrew Robertson
Liverpool,Roberto Firmino
Liverpool,Trent Alexander-Arnold
Luton Town,Carlton Morris
Luton Town,Tom Lockyer
Luton Town,Amari'i Bell
Luton Town,Pelly Ruddock Mpanzu
Manchester City,İlkay Gündoğan
Manchester City,Kevin De Bruyne
Manchester City,Fernandinho
Manchester City,Kyle Walker
Manchester City,David Silva
Manchester City,Rúben Dias
Manchester City,Raheem Sterling
Manchester City,Sergio Agüero
Manchester United,Harry Maguire
Manchester United,Bruno Fernandes
Manchester United,Ashley Young
Manchester United,David de Gea
Manchester United,Cristiano Ronaldo
Manchester United,Nemanja Matić
Manchester United,Scott McTominay
Manchester United,Casemiro
Newcastle United,Jamaal Lascelles
Newcastle United,Kieran Trippier
Newcastle United,Jonjo Shelvey
Newcastle United,Dan Burn
Newcastle United,Federico Fernández
Newcastle United,Callum Wilson
Newcastle United,Andy Carroll
Newcastle United,Fabian Schär
Norwich City,Grant Hanley
Norwich City,Alexander Tettey
Norwich City,Ben Gibson
Norwich City,Christoph Zimmermann
Norwich City,Ben Godfrey
Norwich City,Timm Klose
Nottingham Forest,Ryan Yates
Nottingham Forest,Joe Worrall
Nottingham Forest,Morgan Gibbs-White
Nottingham Forest,Remo Freuler
Nottingham Forest,Serge Aurier
Nottingham Forest,Felipe
Nottingham Forest,Steve Cook
Sheffield United,Oliver Norwood
Sheffield United,John Egan
Sheffield United,Billy Sharp
Sheffield United,Anel Ahmedhodžić
Sheffield United,Jack Robinson
Sheffield United,David McGoldrick
Sheffield United,Chris Basham
Sheffield United,Oliver Arblaster
Sheffield United,Oliver McBurnie
Southampton,James Ward-Prowse
Southampton,Pierre Højbjerg
Southampton,Oriol Romeu
Tottenham Hotspur,Hugo Lloris
Tottenham Hotspur,Son Heung-min
Tottenham Hotspur,Harry Kane
Tottenham Hotspur,Cristian Romero
Tottenham Hotspur,Ben Davies
Tottenham Hotspur,Harry Winks
Tottenham Hotspur,Jan Vertonghen
Tottenham Hotspur,Toby Alderweireld
Watford,Moussa Sissoko
Watford,Troy Deeney
Watford,Craig Cathcart
Watford,Étienne Capoue
Watford,Tom Cleverley
Watford,Adrian Mariappa
Watford,Ben Foster
Watford,William Troost-Ekong
West Bromwich Albion,Kyle Bartley
West Bromwich Albion,Jake Livermore
West Bromwich Albion,Matt Phillips
West Bromwich Albion,Branislav Ivanović
West Ham United,Declan Rice
West Ham United,Mark Noble
West Ham United,Kurt Zouma
West Ham United,Aaron Cresswell
West Ham United,Angelo Ogbonna
West Ham United,Tomáš Souček
West Ham United,James Ward-Prowse
West Ham United,Łukasz Fabiański
Wolverhampton Wanderers,Conor Coady
Wolverhampton Wanderers,Max Kilman
Wolverhampton Wanderers,Rúben Neves
Wolverhampton Wanderers,João Moutinho
Wolverhampton Wanderers,José Sá
